Model,AUC_median,AUC_IQR,F1_median,F1_IQR,Boot_samples
Heuristic(p_fail_EB),0.6458018339751794,0.02571170698834302,0.35515719801434087,0.036462439914237255,1000
LogReg(balanced),0.6468291460567638,0.02536760823308637,0.3539475590323048,0.03574865025887308,1000
RandForest(balanced),0.6314736839201043,0.026309387263124373,0.3042086129753915,0.03633796057003619,1000
DeepModel(DNN 64-32),0.6511197977714,0.02558078186409607,0.3559816513761468,0.035210133585236336,1000
