Topic,Count,Name,Representation,Representative_Docs
-1,304,-1_run_build_github_projects,"['run', 'build', 'github', 'projects', 'uses', 'page', 'error', '100', 'using', 'actions']","['Release a C#-BlazorWebApp Solution with multiple projects into Azure via Github Actions. as you can see in the title I have a C# BlazorWebApp with multiple projects and I want to release this solution to Azure via Github actions but it doesn\'t work. To keep it small, I created a test-project for this and I have the same issue. The structure of my test project: I have one solution ""MyBlazorWebApp"" with two projects: ""MyBlazorWebApp"" as default Blazor-Web-App with test pages. ""MyDBContext"" as class library with one class ""UserContext"" Class ""UserContext"": namespace MyDBContext { public class UserContext { public static string User { get; set; } = ""MyUser""; } } Later, I want to use the class ""UserContext"" (stored in ""MyDBContext"") in ""MyBlazorWebApp"" and then releasing it to Azure. Until now, there is no reference between these two projects. To test everything I created a small Web Service (""TestBlazorWebsite"") in Azure and then I created a deployment plan to create my .yml file in my github storage and release the first version. My .yml file: I changed these values: client-id to ${{ secrets.MyClientID }} tenant-id to ${{ secrets.MyTenantID }} subscription-id to ${{ secrets.MySubsciptionID }} # Docs for the Azure Web Apps Deploy action: https://github.com/Azure/webapps-deploy # More GitHub Actions for Azure: https://github.com/Azure/actions name: Build and deploy ASP.Net Core app to Azure Web App - TestBlazorWebsite on: push: branches: - master workflow_dispatch: jobs: build: runs-on: ubuntu-latest permissions: contents: read #This is required for actions/checkout steps: - uses: actions/checkout@v4 - name: Set up .NET Core uses: actions/setup-dotnet@v4 with: dotnet-version: \'9.x\' - name: Build with dotnet run: dotnet build --configuration Release - name: dotnet publish run: dotnet publish -c Release -o ${{env.DOTNET_ROOT}}/myapp - name: Upload artifact for deployment job uses: actions/upload-artifact@v4 with: name: .net-app path: ${{env.DOTNET_ROOT}}/myapp deploy: runs-on: ubuntu-latest needs: build environment: name: \'Production\' url: ${{ steps.deploy-to-webapp.outputs.webapp-url }} permissions: id-token: write #This is required for requesting the JWT contents: read #This is required for actions/checkout steps: - name: Download artifact from build job uses: actions/download-artifact@v4 with: name: .net-app - name: Login to Azure uses: azure/login@v2 with: client-id: ${{ secrets.MyClientID }} tenant-id: ${{ secrets.MyTenantID }} subscription-id: ${{ secrets.MySubsciptionID }} - name: Deploy to Azure Web App id: deploy-to-webapp uses: azure/webapps-deploy@v3 with: app-name: \'TestBlazorWebsite\' slot-name: \'Production\' package: . Until now, everything works fine. So now I tried to add a project reference in ""MyBlazorWebApp"". project reference in ""MyBlazorWebApp"" In this step I also changed the default home menu in ""MyBlazorWebApp"" to show the variable ""User"" in ""UserContext"". This variable is a string (= ""MyUser"") to test the output. small changes in class ""Home.razor"" And if I debug and test the project I get the expected output: Debugger output But if I push the changes to github (and trigger the release to the website) I get this error message in github: Run dotnet build --configuration Release /usr/share/dotnet/sdk/9.0.200/NuGet.targets(498,5): error MSB3202: The project file ""/home/runner/work/MyDBContext/MyDBContext.csproj"" was not found. [/home/runner/work/MyBlazorWebApp/MyBlazorWebApp/MyBlazorWebApp.sln] Build FAILED. /usr/share/dotnet/sdk/9.0.200/NuGet.targets(498,5): error MSB3202: The project file ""/home/runner/work/MyDBContext/MyDBContext.csproj"" was not found. [/home/runner/work/MyBlazorWebApp/MyBlazorWebApp/MyBlazorWebApp.sln] 0 Warning(s) 1 Error(s) Time Elapsed 00:00:00.53 Error: Process completed with exit code 1. The error occurs in this step from my .yml file: - name: Build with dotnet run: dotnet build --configuration Release My ""Release""-Build-Configuration: release configuration I dont know why the project ""DBContext"" isn\'t found. Do you have any suggestions for me? If you have any questions, dont hesitate to contact me. Kr SlowDown', 'Playwright tests refuse to run on GitHub Actions. I am integrating Playwright tests with GitHub Actions and I am running into an issue where the tests refuse to run as it fails to connect to the local server even though the local server is running. Here\'s the step for Playwright tests on GitHub Actions workflow. I am using a self-hosted Windows runner: steps: - name: Checkout code uses: actions/checkout@v4 - name: Install Nodejs uses: actions/setup-node@v4 with: node-version: 22.14.0 - name: Install dependencies run: npm install - name: Run local server run: start /B npm run start shell: cmd - name: Install npm dependencies working-directory: testing\\playwright run: | echo ""Installing npm dependencies..."" npm ci shell: cmd - name: Install playwright working-directory: testing\\playwright run: | echo ""Installing playwright..."" npx playwright install --with-deps shell: cmd - name: Run playwright tests working-directory: testing\\playwright run: | echo ""Running Playwright tests..."" npm run playwright:smoke:local:ci shell: cmd Here\'s the output on GitHub Actions: The local server is running and still it refuses to connect. The tests work fine when I run them locally. Here\'s the server start step: I have tried adding timeout to the tests and wait for load event but still no luck. I have tried managing the server via Playwright config as well. Here\'s the config: webServer: { command: ""cd ../../ && npm run start"", url: ""http://127.0.0.1:8080/"", reuseExistingServer: true, timeout: 300000, }, The server keeps getting timed out. I have tried waiting for the server to start and still GitHub Actions complains: The other alternative that I have tried is running the tests from a script file and the tests do run because the step is successful but I don\'t see any report being logged and not able to upload the artifact as well. - name: Run playwright tests run: | echo ""Running Playwright tests..."" cd testing\\playwright .\\scripts\\run-playwright-gh.sh shell: cmd Here\'s the script: #!/bin/env sh # Install dependencies npm ci # Install Playwright browsers npx playwright install --with-deps # Enable debugging set -x # Run the Playwright smoke test suite echo ""====Running Smoke Test Suite===="" npm run playwright:smoke:local:ci Here\'s the output: If you see above the PW step passes but there is no artifact uploaded. I have tried everything to generate the artifact but I keep getting the warning ""No files found in the path"".', 'Github Actions and Local Rust Out of Sync. My github actions appear to be running a different versions or configurations for rustfmt, or some similar issue. How do I bring my CI (Github action runner) and my local environment into parity? The problem: cargo fmt --check and cargo fmt produces no output locally and does flag issues on the Github actions environemnt. There is no rustfmt.toml in the repo nor a ~/.config/rustfmt/rustfmt.toml . My Local computer (MacOS M1): > cargo fmt --check # NO OUTPUT > rustc --version rustc 1.82.0 (f6e511eec 2024-10-15) > cargo --version cargo 1.82.0 (8f40fc59f 2024-08-21) > rustfmt --version rustfmt 1.7.1-stable (f6e511ee 2024-10-15) > rustup show Default host: aarch64-apple-darwin rustup home: /Users/casey/.rustup installed toolchains -------------------- stable-aarch64-apple-darwin (default) nightly-2022-12-12-aarch64-apple-darwin nightly-2023-04-16-aarch64-apple-darwin nightly-2023-08-24-aarch64-apple-darwin nightly-2024-01-16-aarch64-apple-darwin nightly-2024-02-06-aarch64-apple-darwin nightly-2024-07-18-aarch64-apple-darwin nightly-aarch64-apple-darwin 1.67-aarch64-apple-darwin risc0 active toolchain ---------------- stable-aarch64-apple-darwin (default) rustc 1.82.0 (f6e511eec 2024-10-15) Github action output: Log Rust version: Run rustc --version rustc 1.82.0 (f6e511eec 2024-10-15) Log Cargo version: Run cargo --version cargo 1.82.0 (8f40fc59f 2024-08-21) Log rustfmt version: Run rustfmt --version rustfmt 1.7.1-stable (f6e511e 2024-10-15) Log rustup toolchain info: 0s Run rustup show Default host: x86_64-unknown-linux-gnu rustup home: /home/runner/.rustup installed toolchains -------------------- stable-x86_64-unknown-linux-gnu (default) 1.82.0-x86_64-unknown-linux-gnu active toolchain ---------------- 1.82.0-x86_64-unknown-linux-gnu (directory override for \'/home/runner/work/zero2prod/zero2prod\') rustc 1.82.0 (f6e511eec 2024-10-15) Enforce formatting: Run cargo fmt --check cargo fmt --check shell: /usr/bin/bash -e {0} env: CARGO_TERM_COLOR: always SQLX_VERSION: 0.8.0 SQLX_FEATURES: rustls,postgres APP_USER: app APP_USER_PWD: secret APP_DB_NAME: newsletter CARGO_INCREMENTAL: 0 CARGO_PROFILE_DEV_DEBUG: 0 RUST_BACKTRACE: short RUSTFLAGS: -D warnings CARGO_UNSTABLE_SPARSE_REGISTRY: true CARGO_REGISTRIES_CRATES_IO_PROTOCOL: sparse CACHE_ON_FAILURE: true Warning: Diff in /home/runner/work/zero2prod/zero2prod/src/routes/subscriptions.rs:1: use actix_web::{web, HttpResponse}; -use sqlx::PgPool; use chrono::Utc; +use sqlx::PgPool; use uuid::Uuid; #[derive(serde::Deserialize)] Warning: Diff in /home/runner/work/zero2prod/zero2prod/src/telemetry.rs:2: use tracing::Subscriber; use tracing_bunyan_formatter::{BunyanFormattingLayer, JsonStorageLayer}; use tracing_log::LogTracer; -use tracing_subscriber::{layer::SubscriberExt, EnvFilter, Registry}; use tracing_subscriber::fmt::MakeWriter; +use tracing_subscriber::{layer::SubscriberExt, EnvFilter, Registry}; pub fn get_subscriber<Sink>( name: String, Warning: Diff in /home/runner/work/zero2prod/zero2prod/src/main.rs:1: use secrecy::ExposeSecret; +use sqlx::postgres::{PgPool, PgPoolOptions}; +use std::net::TcpListener; use zero2prod::configuration::get_configuration; use zero2prod::startup::run; use zero2prod::telemetry::{get_subscriber, init_subscriber}; Warning: Diff in /home/runner/work/zero2prod/zero2prod/src/main.rs:5: -use sqlx::postgres::{PgPool, PgPoolOptions}; -use std::net::TcpListener; #[tokio::main] async fn main() -> Result<(), std::io::Error> { Warning: Diff in /home/runner/work/zero2prod/zero2prod/tests/health_check.rs:1: -use zero2prod::configuration::{get_configuration, DatabaseSettings}; -use zero2prod::startup::run; -use zero2prod::telemetry::{get_subscriber, init_subscriber}; +use secrecy::Secret; use sqlx::{Connection, Executor, PgConnection, PgPool}; use std::net::TcpListener; -use uuid::Uuid; use std::sync::LazyLock; -use secrecy::Secret; +use uuid::Uuid; +use zero2prod::configuration::{get_configuration, DatabaseSettings}; +use zero2prod::startup::run; +use zero2prod::telemetry::{get_subscriber, init_subscriber}; pub struct TestApp { pub address: String, Error: Process completed with exit code 1. My repo: .github/workflows/general.yml , I added the aforementioned env logging and with: toolchain: 1.82.0 (in two places) as compared to the general.yml from the repo / book I\'m follow (Zero to Production in Rust) name: Rust on: # NB: this differs from the book\'s project! # These settings allow us to run this specific CI pipeline for PRs against # this specific branch (a.k.a. book chapter). push: branches: - main pull_request: types: [opened, synchronize, reopened] branches: - main env: CARGO_TERM_COLOR: always SQLX_VERSION: 0.8.0 SQLX_FEATURES: ""rustls,postgres"" APP_USER: app APP_USER_PWD: secret APP_DB_NAME: newsletter jobs: test: name: Test runs-on: ubuntu-latest # Service containers to run alongside the `test` container job services: postgres: # Docker Hub image image: postgres:14 env: POSTGRES_USER: postgres POSTGRES_PASSWORD: password POSTGRES_DB: postgres ports: - 5432:5432 steps: # Downloads a copy of the code in your repository before running CI tests - name: Check out repository code # The uses keyword specifies that this step will run v4 of the actions/checkout action. # This is an action that checks out your repository onto the runner, allowing you to run scripts or other actions against your code (such as build and test tools). # You should use the checkout action any time your workflow will run against the repository\'s code. uses: actions/checkout@v4 # This GitHub Action installs a Rust toolchain using rustup. It is designed for one-line concise usage and good defaults. # It also takes care of caching intermediate build artifacts. - name: Install the Rust toolchain uses: actions-rust-lang/setup-rust-toolchain@v1 with: toolchain: 1.82.0 # Ensure the toolchain matches your local version components: rustfmt - name: Log Rust version run: rustc --version - name: Log rustup toolchain info run: rustup show - name: Install sqlx-cli run: cargo install sqlx-cli --version=${{ env.SQLX_VERSION }} --features ${{ env.SQLX_FEATURES }} --no-default-features --locked # The --locked flag can be used to force Cargo to use the packaged Cargo.lock file if it is available. # This may be useful for ensuring reproducible builds, to use the exact same set of dependencies that were available when the package was published. # It may also be useful if a newer version of a dependency is published that no longer builds on your system, or has other problems - name: Create app user in Postgres run: | sudo apt-get install postgresql-client # Create the application user CREATE_QUERY=""CREATE USER ${APP_USER} WITH PASSWORD \'${APP_USER_PWD}\';"" PGPASSWORD=""password"" psql -U ""postgres"" -h ""localhost"" -c ""${CREATE_QUERY}"" # Grant create db privileges to the app user GRANT_QUERY=""ALTER USER ${APP_USER} CREATEDB;"" PGPASSWORD=""password"" psql -U ""postgres"" -h ""localhost"" -c ""${GRANT_QUERY}"" - name: Migrate database run: | SKIP_DOCKER=true ./scripts/init_db.sh - name: Run tests run: cargo test - name: Check that queries are fresh run: cargo sqlx prepare --workspace --check -- --all-targets # `fmt` container job fmt: name: Rustfmt runs-on: ubuntu-latest steps: - uses: actions/checkout@v4 - name: Install the Rust toolchain uses: actions-rust-lang/setup-rust-toolchain@v1 with: toolchain: 1.82.0 components: rustfmt - name: Log Rust version run: rustc --version - name: Log rustup toolchain info run: rustup show # - name: Apply formatting # run: cargo fmt - name: Enforce formatting run: cargo fmt --check clippy: name: Clippy runs-on: ubuntu-latest env: SQLX_OFFLINE: true steps: - uses: actions/checkout@v4 - name: Install the Rust toolchain uses: actions-rust-lang/setup-rust-toolchain@v1 with: components: clippy - name: Linting run: cargo clippy -- -D warnings coverage: name: Code coverage runs-on: ubuntu-latest services: postgres: image: postgres:14 env: POSTGRES_USER: postgres POSTGRES_PASSWORD: password POSTGRES_DB: postgres ports: - 5432:5432 steps: - uses: actions/checkout@v4 - name: Install the Rust toolchain uses: actions-rust-lang/setup-rust-toolchain@v1 with: components: llvm-tools-preview - name: Install sqlx-cli run: cargo install sqlx-cli --version=${{ env.SQLX_VERSION }} --features ${{ env.SQLX_FEATURES }} --no-default-features --locked - name: Create app user in Postgres run: | sudo apt-get install postgresql-client # Create the application user CREATE_QUERY=""CREATE USER ${APP_USER} WITH PASSWORD \'${APP_USER_PWD}\';"" PGPASSWORD=""password"" psql -U ""postgres"" -h ""localhost"" -c ""${CREATE_QUERY}"" # Grant create db privileges to the app user GRANT_QUERY=""ALTER USER ${APP_USER} CREATEDB;"" PGPASSWORD=""password"" psql -U ""postgres"" -h ""localhost"" -c ""${GRANT_QUERY}"" - name: Migrate database run: SKIP_DOCKER=true ./scripts/init_db.sh - name: Install cargo-llvm-cov uses: taiki-e/install-action@cargo-llvm-cov - name: Generate code coverage run: cargo llvm-cov --all-features --workspace --lcov --output-path lcov.info - name: Generate report run: cargo llvm-cov report --html --output-dir coverage - uses: actions/upload-artifact@v4 with: name: ""Coverage report"" path: coverage/ .cargo/config.toml : [target.x86_64-unknown-linux-gnu] rustflags = [""-C"", ""linker=clang"", ""-C"", ""link-arg=-fuse-ld=lld""] [target.x86_64-pc-windows-msvc] rustflags = [""-C"", ""link-arg=-fuse-ld=lld""] [target.x86_64-pc-windows-gnu] rustflags = [""-C"", ""link-arg=-fuse-ld=lld""] [target.x86_64-apple-darwin] rustflags = [""-C"", ""link-arg=-fuse-ld=lld""] [target.aarch64-apple-darwin] rustflags = [""-C"", ""link-arg=-fuse-ld=lld""]']"
0,265,0_travis_build_docker_run,"['travis', 'build', 'docker', 'run', 'error', 'file', 'ci', 'install', 'npm', 'test']","['travis ci do nothing. I am new on Travis CI and I am trying to deploy my hobby project to AWS by Travis but in my first commit nothing happened here is my .travis.yml: sudo: required language: generic services: - docker before_install: - docker build -t aaa/fakewebappapi -f ./api/Dockerfile.dev ./api script: - docker run -e CI=true aaa/fakewebappapi npm run test after_success: - docker build -t aaa/fakewebappclient -f ./client/Dockerfile.dev ./client - docker build -t aaa/fakewebappapi -f ./api/Dockerfile.dev ./api - docker build -t aaa/fakewebappnginx -f ./nginx/Dockerfile.dev ./nginx - echo ""$DOCKER_PASSWORD"" | docker login -u ""$DOCKER_ID"" --password-stdin - docker push aaa/fakewebappclient - docker push aaa/fakewebappapi - docker push aaa/fakewebappnginx Each docker work correctly but when I push the repository to my GitHub nothing changed. Also I checked my GitHub profile and travis connected it succesfully. Also there is no log in travis-ci.com when I see other travis project on YouTube everyone has log screen in built screen.', 'Docker container works locally but not when uploaded to elasticbeanstalk. My docker container works locally, I\'m trying to deploy it on elastic beanstalk using travis. My travis build is successful. The docker container has been tested locally and it works. On AWS Elastic Beanstalk I get a ""Not a file/Directory error"" for my build directory. Dockerfile FROM node:alpine as builder WORKDIR \'/app\' COPY package.json . RUN npm install COPY . . CMD [""npm"", ""run"", ""build""] #Run Phase FROM nginx EXPOSE 80 COPY --from=builder /app/build /usr/share/nginx/html Dockerfile.dev FROM node:alpine WORKDIR \'/app\' COPY package.json . RUN npm install COPY . . CMD [""npm"", ""run"", ""start""] travis.yml sudo: required services: - docker before_install: - docker build -t *******/docker -f Dockerfile.dev . script: - docker run -e CI=true *******/docker npm run test -- --coverage deploy: provider: elasticbeanstalk region: ""ap-south-1"" app: ""docker"" env: ""Docker-env-2"" bucket_name: ""***********************"" bucket_path: ""docker"" on: branch: master access_key_id: $AWS_ACCESS_KEY secret_access_key: $AWS_SECRET_KEY Following are the logs - Travis output Elastic Beanstalk output Any help would be appreciated, thanks! To run it locally, I run the following commands- 1) docker build -t *******/docker . 2) docker run -it <port>:80 <container_id> It works as expected and I can reach the server on localhost:. I\'ve put the same commands on the travis.yml file as well. There are two dockerfiles because I would only be needing the ""build"" directory in the production container and I can ignore the rest of the directories to save space.', 'Travis CI build is not starting. I am trying to learn the tool Travis CI , and thus I made a react project which is run inside a docker container. I have pushed the code on git-hub with all the necessary files. Even after making the .travis.yml file with no errors, after pushing the code , Travis is not triggering the build of the app. Below is the code repository structure : my code repo This is code of the file Dockerfile.dev : FROM node:alpine WORKDIR /app COPY package.json . RUN npm install RUN chmod -R a+rwx node_modules COPY . . CMD [""npm"",""run"",""start""] This the code in .travis.yml file : sudo: required services: - docker before_install: - docker build -t mydockerreact -f Dockerfile.dev . script: - docker run mydockerreact npm run test I have tried almost everything in this file but the build is not triggering on the CI tool']"
1,139,1_gitlab_stage_job_pipeline,"['gitlab', 'stage', 'job', 'pipeline', 'rules', 'branch', 'echo', 'script', 'variables', 'merge']","['Can I run a job when the pipeline is an MR _and_ no changes are being made to a specified path?. In GitLab CI, I can specify that a job should run if the pipeline is for a merge request. I can also run a job if changes are being made to a certain file (or set of files). This I would do with the following rules: Check Changelog Existence: script: - echo ""Changelog files exist"" rules: - if: $CI_PIPELINE_SOURCE == ""merge_request_event"" changes: - changelogs/unreleased/**/* This is fine and dandy... but what I actually want to do is almost the exact opposite. That is, I want a job to fail if a merge request does NOT have changelog entry files. Is there some way for me to do that, preferably using the GitLab CI DSL? I know I can perform some hoop jumping and do this in the script but that is a bit messy and I\'d prefer to do it using only the GitLab CI YAML if possible. The following GitLab CI YAML does work for me, but as I said, I would like to know if this can be achieved without resorting to manually run the git CLI in a script. Check Changelog Existence: image: alpine/git variables: GIT_DEPTH: ""0"" # Tells git to fetch all the branches of the project, required by the analysis task script: - git --no-pager diff --name-status remotes/origin/$CI_MERGE_REQUEST_TARGET_BRANCH_NAME | grep ^A | grep changelogs/unreleased/ # Ensure that some files have been added to the unreleased changelog path rules: - if: $CI_PIPELINE_SOURCE == ""merge_request_event"" when: always', 'GitLab CI: How to use variables defined in workflow in `rules` of other jobs?. I\'m trying to use a variable defined in workflow in the rules section of a job. Here is a pipeline with two very similar jobs: variables: GOOGLE_PLAY_TRACK_NAME_PRODUCTION: ""production"" workflow: rules: - if: $CI_COMMIT_BRANCH == ""main"" variables: GOOGLE_PLAY_DEPLOYMENT_TRACK: $GOOGLE_PLAY_TRACK_NAME_PRODUCTION stages: - setup this-runs: stage: setup image: python:3.13.3 script: - echo $GOOGLE_PLAY_DEPLOYMENT_TRACK - echo $GOOGLE_PLAY_TRACK_NAME_PRODUCTION rules: - if: $GOOGLE_PLAY_DEPLOYMENT_TRACK this-should-run: stage: setup image: python:3.13.3 script: - echo $GOOGLE_PLAY_DEPLOYMENT_TRACK - echo $GOOGLE_PLAY_TRACK_NAME_PRODUCTION rules: - if: $GOOGLE_PLAY_DEPLOYMENT_TRACK == $GOOGLE_PLAY_TRACK_NAME_PRODUCTION When deploying to main , I expect both of those to run. However, the second of those is not even scheduled for execution. This can be verified by pasting the above snippet in GitLab Pipeline Editor and going to validate (requiring main to be the default branch). How can I compare the value of a workflow defined variable to the value of a script-variable and use the result to determine which jobs to execute?', 'How to set up parent pipeline for different triggers commit messages and web button?. I have parent with child pipeline I want to add manual trigger by button in webui and trigger by commit message. Like trigger on push commit: message “job-1” run child pipeline job-1 message “job-2” run child pipeline job-2 message “job-3” run child pipeline job-3 message “job-all” run child pipeline step by step job-1 than job-2 than job-3 And I need to run via webui jobs separate job-1 or job-2 or job-3 And run via web up all job step by step job-1 → job-2 → job-3 gitlab-runner -v Version: 17.7.0 But when my pipelines execute it works correct by stages, but in the finish I got message status blocked. How to do it correctly? Kindly ask to help. Thanks! .gitlab-ci.yml ├── job-1/.gitlab-ci.yml ├── job-2/.gitlab-ci.yml └── job-3/.gitlab-ci.yml parent gitlab-ci.yml .rules_template: &rules_template rules: - if: \'$CI_PIPELINE_SOURCE == ""manual""\' when: manual - if: \'$CI_PIPELINE_SOURCE == ""push""\' when: always - if: \'$CI_PIPELINE_SOURCE == ""merge_request_event""\' when: always stages: - run_pipelines run_job-1: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /job-1/i\' when: always - if: \'$CI_COMMIT_MESSAGE =~ /job-all/i\' when: always - when: manual trigger: include: - local: job-1/.gitlab-ci.yml strategy: depend job-2: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /job-2/i\' when: always - if: \'$CI_COMMIT_MESSAGE =~ /job-all/i\' when: always - when: manual trigger: include: - local: job-2/.gitlab-ci.yml strategy: depend needs: - job-1 job-3: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /job-3/i\' when: always - if: \'$CI_COMMIT_MESSAGE =~ /job-all/i\' when: always - when: manual trigger: include: - local: job-3/.gitlab-ci.yml strategy: depend needs: - job-2 job_all: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /job-all/i\' when: always - when: manual trigger: include: - local: job-1/.gitlab-ci.yml - local: job-2/.gitlab-ci.yml - local: job-3/.gitlab-ci.yml strategy: depend job1-job-3 almost same like: stages: - build - deploy build: stage: build script: - echo ""Build..."" deploy: stage: deploy script: - echo ""Deploy…"" Part 2. I would like to add some examples, I build Linux image build system for some Linux distro. And trigger with commit message ununtu-1 run ubuntu-1, ubuntu-2 run ubuntu-2 and same for ubuntu-3. Commit message with ununtu-all run all 3 pipelines (version 1, 2 and 3). I wrote some app in python to trigger each pipeline via API. Also i need a manual trigger via buttons in webui Gitlab, for same schema. And now i need to add email notify via microsoft apps. it’s a problem too, no password authorization. Could you please check my parent pipeline. I think clearly write what i should get. thanks! About locking pipeline i mean this like in a image. here is the full code of my parent pipeline: parent pipeline: # Parent pipeline: .rules_template: &rules_template rules: - if: \'$CI_PIPELINE_SOURCE == ""manual""\' when: manual - if: \'$CI_PIPELINE_SOURCE == ""push""\' when: always - if: \'$CI_PIPELINE_SOURCE == ""web""\' when: always allow_failure: true variables: TEAMS_WEBHOOK_URL: $TEAMS_WEBHOOK_URL stages: - run_pipelines manual_run_ubuntu_1: stage: run_pipelines <<: *rules_template rules: - when: manual trigger: include: - local: ubuntu_1/.gitlab-ci.yml strategy: depend manual_run_ubuntu_2: stage: run_pipelines <<: *rules_template rules: - when: manual trigger: include: - local: ubuntu_2/.gitlab-ci.yml strategy: depend manual_run_ubuntu_3: stage: run_pipelines <<: *rules_template rules: - when: manual trigger: include: - local: ubuntu_3/.gitlab-ci.yml strategy: depend manual_run_all: stage: run_pipelines <<: *rules_template rules: - when: manual trigger: include: - local: ubuntu_1/.gitlab-ci.yml - local: ubuntu_2/.gitlab-ci.yml - local: ubuntu_3/.gitlab-ci.yml strategy: depend run_ubuntu_1: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /ubuntu-1/i\' when: always - if: \'$CI_COMMIT_MESSAGE =~ /ubuntu-all/i\' when: always trigger: include: - local: ubuntu_1/.gitlab-ci.yml strategy: depend run_ubuntu_2: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /ubuntu-2/i\' when: always - if: \'$CI_COMMIT_MESSAGE =~ /ubuntu-all/i\' when: always trigger: include: - local: ubuntu_2/.gitlab-ci.yml strategy: depend run_ubuntu_3: stage: run_pipelines <<: *rules_template rules: - if: \'$CI_COMMIT_MESSAGE =~ /ubuntu-3/i\' when: always - if: \'$CI_COMMIT_MESSAGE =~ /ubuntu-all/i\' when: always trigger: include: - local: ubuntu_3/.gitlab-ci.yml strategy: depend blocked pipeline image this is a mean pipiline blocked and needs to run manually.']"
