topic,mean_sentiment,mean_duration_days,resolution_rate
-1,0.045423026315789476,0.0,0.0
0,-0.032273207547169815,0.0,0.0
1,0.23825395683453238,0.0,0.0
2,-0.143515503875969,0.0,0.0
3,0.29836043956043956,0.0,0.0
4,0.3068571428571429,0.0,0.0
5,-0.1995829268292683,0.0,0.0
6,-0.19306756756756754,0.0,0.0
7,0.014897222222222225,0.0,0.0
8,0.011306896551724144,0.0,0.0
9,0.24926521739130436,0.0,0.0
10,0.5120695652173913,0.0,0.0
11,0.5225315789473685,0.0,0.0
12,-0.22284615384615383,0.0,0.0
