feature,importance
p_fail_EB,0.19331580202589294
workflow_entropy,0.18864710349871344
fail_rate,0.16605840333908753
failures,0.1352979922946372
runs,0.13511053448591145
workflow_count,0.10444926386527925
attempts_mean,0.039727816544123135
retry_rate,0.037393083946354995
